word	nodeType	synsetCount	unit
get	VERB	36	EP16-Volunteers
her	PRON	0	EP16-Volunteers
What	PRON	0	EP16-Volunteers
what	PRON	0	EP16-Volunteers
I	PRON	0	EP16-Volunteers
follow	VERB	24	EP16-Volunteers
let	VERB	6	EP16-Volunteers
me	PRON	0	EP16-Volunteers
get	VERB	36	EP16-Volunteers
dig	VERB	8	EP16-Volunteers
old	ADJ	8	EP16-Volunteers
They	PRON	0	EP16-Volunteers
make	VERB	49	EP16-Volunteers
they	PRON	0	EP16-Volunteers
throw	VERB	15	EP16-Volunteers
they	PRON	0	EP16-Volunteers
put	VERB	9	EP16-Volunteers
figure	VERB	5	EP16-Volunteers
they	PRON	0	EP16-Volunteers
bury	VERB	6	EP16-Volunteers
want	VERB	5	EP16-Volunteers
skeletal	ADJ	2	EP16-Volunteers
they	PRON	0	EP16-Volunteers
bury	VERB	6	EP16-Volunteers
survive	VERB	4	EP16-Volunteers
you	PRON	0	EP16-Volunteers
tell	VERB	8	EP16-Volunteers
that?pelvic	ADJ	0	EP16-Volunteers
come	VERB	21	EP16-Volunteers
look	VERB	10	EP16-Volunteers
me	PRON	0	EP16-Volunteers
more	ADJ	2	EP16-Volunteers
least	ADJ	1	EP16-Volunteers
old	ADJ	8	EP16-Volunteers
they	PRON	0	EP16-Volunteers
original	ADJ	4	EP16-Volunteers
ugly	ADJ	4	EP16-Volunteers
first	ADJ	6	EP16-Volunteers
look	VERB	10	EP16-Volunteers
that	PRON	0	EP16-Volunteers
it	PRON	0	EP16-Volunteers
all	PRON	0	EP16-Volunteers
go	VERB	30	EP16-Volunteers
wrong	ADJ	9	EP16-Volunteers
You	PRON	0	EP16-Volunteers
bear	VERB	13	EP16-Volunteers
have	VERB	19	EP16-Volunteers
wait	VERB	4	EP16-Volunteers
me	PRON	0	EP16-Volunteers
You	PRON	0	EP16-Volunteers
know	VERB	11	EP16-Volunteers
many	ADJ	1	EP16-Volunteers
there	PRON	0	EP16-Volunteers
be	VERB	13	EP16-Volunteers
You	PRON	0	EP16-Volunteers
You	PRON	0	EP16-Volunteers
forget	VERB	4	EP16-Volunteers
fill	VERB	9	EP16-Volunteers
this	PRON	0	EP16-Volunteers
you	PRON	0	EP16-Volunteers
leave	VERB	14	EP16-Volunteers
see	VERB	24	EP16-Volunteers
you	PRON	0	EP16-Volunteers
I	PRON	0	EP16-Volunteers
My	PRON	0	EP16-Volunteers
a	PRON	0	EP16-Volunteers
beautiful	ADJ	2	EP16-Volunteers
see	VERB	24	EP16-Volunteers
you	PRON	0	EP16-Volunteers
I	PRON	0	EP16-Volunteers
embarrass	VERB	2	EP16-Volunteers
you	PRON	0	EP16-Volunteers
You	PRON	0	EP16-Volunteers
tell	VERB	8	EP16-Volunteers
me	PRON	0	EP16-Volunteers
your	PRON	0	EP16-Volunteers
We	PRON	0	EP16-Volunteers
It	PRON	0	EP16-Volunteers
good	ADJ	21	EP16-Volunteers
I	PRON	0	EP16-Volunteers
think	VERB	13	EP16-Volunteers
quiet	ADJ	6	EP16-Volunteers
have	VERB	19	EP16-Volunteers
go	VERB	30	EP16-Volunteers
white	ADJ	12	EP16-Volunteers
black	ADJ	14	EP16-Volunteers
disappear	VERB	4	EP16-Volunteers
.misse	VERB	0	EP16-Volunteers
knock	VERB	6	EP16-Volunteers
themselves	PRON	0	EP16-Volunteers
you	PRON	0	EP16-Volunteers
sound	ADJ	9	EP16-Volunteers
you	PRON	0	EP16-Volunteers
allow	VERB	10	EP16-Volunteers
disappear	VERB	4	EP16-Volunteers
disappear	VERB	4	EP16-Volunteers
Some	PRON	0	EP16-Volunteers
'em	PRON	0	EP16-Volunteers
know	VERB	11	EP16-Volunteers
it	PRON	0	EP16-Volunteers
report	VERB	6	EP16-Volunteers
miss	VERB	9	EP16-Volunteers
her	PRON	0	EP16-Volunteers
deceased	ADJ	1	EP16-Volunteers
live	VERB	7	EP16-Volunteers
disappear	VERB	4	EP16-Volunteers
disappear	VERB	4	EP16-Volunteers
We	PRON	0	EP16-Volunteers
run	VERB	41	EP16-Volunteers
see	VERB	24	EP16-Volunteers
turn	VERB	26	EP16-Volunteers
dump	VERB	6	EP16-Volunteers
professional	ADJ	5	EP16-Volunteers
Which	PRON	0	EP16-Volunteers
say	VERB	11	EP16-Volunteers
organized	ADJ	3	EP16-Volunteers
buy	VERB	5	EP16-Volunteers
them	PRON	0	EP16-Volunteers
black	ADJ	14	EP16-Volunteers
white	ADJ	12	EP16-Volunteers
bother	VERB	6	EP16-Volunteers
somebody	PRON	0	EP16-Volunteers
You	PRON	0	EP16-Volunteers
get	VERB	36	EP16-Volunteers
either	PRON	0	EP16-Volunteers
we	PRON	0	EP16-Volunteers
have	VERB	19	EP16-Volunteers
You	PRON	0	EP16-Volunteers
mean	VERB	7	EP16-Volunteers
she	PRON	0	EP16-Volunteers
find	VERB	16	EP16-Volunteers
her	PRON	0	EP16-Volunteers
he	PRON	0	EP16-Volunteers
she	PRON	0	EP16-Volunteers
have	VERB	19	EP16-Volunteers
bad	ADJ	14	EP16-Volunteers
there	PRON	0	EP16-Volunteers
let	VERB	6	EP16-Volunteers
's	PRON	0	EP16-Volunteers
go	VERB	30	EP16-Volunteers
see	VERB	24	EP16-Volunteers
you	PRON	0	EP16-Volunteers
You	PRON	0	EP16-Volunteers
get	VERB	36	EP16-Volunteers
choose	VERB	3	EP16-Volunteers
view	VERB	3	EP16-Volunteers
your	PRON	0	EP16-Volunteers
